Proteome_ID	corr	a_type	c_type	c_name	code	kingdom
UP000001879	0.4537231112188747	codon	kendall	Kendall's Tau	SGCode	Archaea
UP000002199	0.4537231112188747	codon	kendall	Kendall's Tau	SGCode	Archaea
UP000002518	0.6254021262746651	codon	kendall	Kendall's Tau	SGCode	Archaea
UP000001015	0.4169347508497767	codon	kendall	Kendall's Tau	SGCode	Archaea
UP000001304	0.4782486847982733	codon	kendall	Kendall's Tau	SGCode	Archaea
UP000000536	0.4537231112188747	codon	kendall	Kendall's Tau	SGCode	Archaea
UP000006681	0.5840212982376264	codon	kendall	Kendall's Tau	SGCode	Archaea
UP000001901	0.4537231112188747	codon	kendall	Kendall's Tau	SGCode	Archaea
UP000000740	0.5272998319570706	codon	kendall	Kendall's Tau	SGCode	Archaea
UP000002593	0.5886137659055671	codon	kendall	Kendall's Tau	SGCode	Archaea
UP000008243	0.5395626187467699	codon	kendall	Kendall's Tau	SGCode	Archaea
UP000001018	0.465985898008574	codon	kendall	Kendall's Tau	SGCode	Archaea
UP000002315	0.3433580301115809	codon	kendall	Kendall's Tau	SGCode	Archaea
UP000001400	0.3065696697424829	codon	kendall	Kendall's Tau	SGCode	Archaea
UP000002613	0.3801463904806788	codon	kendall	Kendall's Tau	SGCode	Archaea
UP000002376	0.5272998319570706	codon	kendall	Kendall's Tau	SGCode	Archaea
UP000001931	0.3678836036909795	codon	kendall	Kendall's Tau	SGCode	Archaea
UP000012076	0.3686060413765165	codon	kendall	Kendall's Tau	SGCode	Archaea
UP000001024	0.4537231112188747	codon	kendall	Kendall's Tau	SGCode	Archaea
UP000002654	0.5886137659055671	codon	kendall	Kendall's Tau	SGCode	Archaea
UP000001488	0.4537231112188747	codon	kendall	Kendall's Tau	SGCode	Archaea
UP000012672	0.3633526079986264	codon	kendall	Kendall's Tau	SGCode	Archaea
UP000006794	0.5272998319570706	codon	kendall	Kendall's Tau	SGCode	Archaea
UP000002408	0.5640881923261686	codon	kendall	Kendall's Tau	SGCode	Archaea
UP000001941	0.6254021262746651	codon	kendall	Kendall's Tau	SGCode	Archaea
UP000058290	0.2881762063437381	codon	kendall	Kendall's Tau	SGCode	Archaea
UP000014070	0.3015351409034845	codon	kendall	Kendall's Tau	SGCode	Archaea
UP000009079	0.4006187165337532	gc	kendall	Kendall's Tau	SGCode	Archaea
UP000002439	0.467388502622712	gc	kendall	Kendall's Tau	SGCode	Archaea
UP000001686	0.467388502622712	gc	kendall	Kendall's Tau	SGCode	Archaea
UP000000792	0.4562602049412189	gc	kendall	Kendall's Tau	SGCode	Archaea
UP000002698	0.4562602049412189	gc	kendall	Kendall's Tau	SGCode	Archaea
UP000001059	0.4785168003042052	gc	kendall	Kendall's Tau	SGCode	Archaea
UP000001974	0.5230299910301778	gc	kendall	Kendall's Tau	SGCode	Archaea
UP000000242	0.5007733956671915	gc	kendall	Kendall's Tau	SGCode	Archaea
UP000005877	0.4451319072597258	gc	kendall	Kendall's Tau	SGCode	Archaea
UP000007490	0.3467924870705224	gc	kendall	Kendall's Tau	SGCode	Archaea
UP000009227	0.340309812893994	gc	kendall	Kendall's Tau	SGCode	Archaea
UP000000554	0.4562602049412189	gc	kendall	Kendall's Tau	SGCode	Archaea
UP000001068	0.3794106119043646	gc	kendall	Kendall's Tau	SGCode	Archaea
UP000000578	0.311592335081808	gc	kendall	Kendall's Tau	SGCode	Archaea
UP000007722	0.38949041885226	gc	kendall	Kendall's Tau	SGCode	Archaea
UP000002457	0.5230299910301778	gc	kendall	Kendall's Tau	SGCode	Archaea
UP000000254	0.4562602049412189	gc	kendall	Kendall's Tau	SGCode	Archaea
UP000001975	0.4451319072597258	gc	kendall	Kendall's Tau	SGCode	Archaea
UP000001746	0.4562602049412189	gc	kendall	Kendall's Tau	SGCode	Archaea
UP000000805	0.4228753118967394	gc	kendall	Kendall's Tau	SGCode	Archaea
UP000006565	0.5452865863931641	gc	kendall	Kendall's Tau	SGCode	Archaea
UP000001137	0.5897997771191366	gc	kendall	Kendall's Tau	SGCode	Archaea
UP000000262	0.4117470142152463	gc	kendall	Kendall's Tau	SGCode	Archaea
UP000000590	0.4340036095782326	gc	kendall	Kendall's Tau	SGCode	Archaea
UP000000346	0.5786714794376435	gc	kendall	Kendall's Tau	SGCode	Archaea
UP000005223	0.4228753118967394	gc	kendall	Kendall's Tau	SGCode	Archaea
UP000001826	0.4117470142152463	gc	kendall	Kendall's Tau	SGCode	Archaea
UP000007807	0.4206452599612906	gc	kendall	Kendall's Tau	SGCode	Archaea
UP000006622	0.467388502622712	gc	kendall	Kendall's Tau	SGCode	Archaea
UP000000641	0.5007733956671915	gc	kendall	Kendall's Tau	SGCode	Archaea
UP000011511	0.4027440296786561	gc	kendall	Kendall's Tau	SGCode	Archaea
UP000002071	0.4228753118967394	gc	kendall	Kendall's Tau	SGCode	Archaea
UP000000365	0.4340036095782326	gc	kendall	Kendall's Tau	SGCode	Archaea
UP000001013	0.4340036095782326	gc	kendall	Kendall's Tau	SGCode	Archaea
UP000000663	0.4006187165337532	gc	kendall	Kendall's Tau	SGCode	Archaea
UP000002487	0.5119016933486846	gc	kendall	Kendall's Tau	SGCode	Archaea
UP000000391	0.38949041885226	gc	kendall	Kendall's Tau	SGCode	Archaea
UP000001169	0.4451319072597258	gc	kendall	Kendall's Tau	SGCode	Archaea
UP000000674	0.5007733956671915	gc	kendall	Kendall's Tau	SGCode	Archaea
UP000006663	0.2819419372173004	gc	kendall	Kendall's Tau	SGCode	Archaea
UP000001879	0.4117470142152463	gc	kendall	Kendall's Tau	SGCode	Archaea
UP000002199	0.467388502622712	gc	kendall	Kendall's Tau	SGCode	Archaea
UP000002518	0.5230299910301778	gc	kendall	Kendall's Tau	SGCode	Archaea
UP000001015	0.3449772281262875	gc	kendall	Kendall's Tau	SGCode	Archaea
