Prot_Tax_ID	Coefficient	Correlation	Comparison	Kingdom
UP000008186_211586	0.6547670585928775	Spearman	code	Bacteria
UP000002522_272633	0.347436247945666	Spearman	code	Bacteria
UP000027395_388467	0.4353632267894319	Spearman	code	Bacteria
UP000001476_515620	0.4779321595568448	Spearman	code	Bacteria
UP000001491_572263	0.350683315683476	Spearman	code	Bacteria
UP000002524_243230	0.7766397592798729	Spearman	code	Bacteria
UP000001492_573065	0.7798259736769185	Spearman	code	Bacteria
UP000004318_252305	0.4385994198528242	Spearman	code	Bacteria
UP000017396_1183438	0.714378915740859	Spearman	code	Bacteria
UP000000428_227882	0.7638949016916904	Spearman	code	Bacteria
UP000008204_41431	0.7288465433241885	Spearman	code	Bacteria
UP000000429_85962	0.4819149275531519	Spearman	code	Bacteria
UP000008205_574521	0.7081361497433918	Spearman	code	Bacteria
UP000006034_563192	0.6292773434165123	Spearman	code	Bacteria
UP000001512_531844	0.4669559895417103	Spearman	code	Bacteria
UP000000431_272561	0.749556936904985	Spearman	code	Bacteria
UP000001520_639282	0.2531914832786758	Spearman	code	Bacteria
UP000001522_679897	0.4742648319929793	Spearman	code	Bacteria
UP000002526_224911	0.732032757721234	Spearman	code	Bacteria
UP000027602_796606	0.4129935222142982	Spearman	code	Bacteria
UP000002528_335992	0.4787287131561062	Spearman	code	Bacteria
UP000000432_220668	0.6181255930268527	Spearman	code	Bacteria
UP000001544_398511	0.5201495003176995	Spearman	code	Bacteria
UP000000439_206672	0.6667153625817985	Spearman	code	Bacteria
UP000008207_460265	0.7503534905042464	Spearman	code	Bacteria
UP000002529_300269	0.7081361497433918	Spearman	code	Bacteria
UP000000440_197221	0.7742500984820887	Spearman	code	Bacteria
UP000017700_104623	0.6659188089825372	Spearman	code	Bacteria
UP000004478_1225176	0.2622573707749011	Spearman	code	Bacteria
UP000008210_381666	0.7344224185190182	Spearman	code	Bacteria
UP000002531_323098	0.7256603289271427	Spearman	code	Bacteria
UP000008212_243275	0.550418537089633	Spearman	code	Bacteria
UP000000442_177437	0.6738843449751513	Spearman	code	Bacteria
UP000001556_349161	0.6659188089825372	Spearman	code	Bacteria
UP000002534_338963	0.7105258105411761	Spearman	code	Bacteria
UP000008216_405955	0.7399982937138482	Spearman	code	Bacteria
