Archaea	Bacteria	Eukaryotes	Viruses
	4463	11844	2
	8700	16332	11
	4104	10154	58
	4388	9720	102
	2243	12747	4
	3470	37110	70
	2980	11098	3
	3154	3930	4
	7108	6643	58
	4679	19520	2
	2803	11511	128
	3188	2220	2
	4159	9157	3
	2384	13043	95
	3559	8297	61
	1479	19171	3
	5952	9140	3
	1913	10972	46
	3292	12062	66
	3604	10563	56
	1861	15446	1
	2859	12186	2
	227	12068	2
	3344	12399	115
	7351	25721	8
	2914	20720	49
	1690	16224	7
	4185	10409	3
	2018	14339	61
	4341	6361	80
	4062	9073	1
	2936	10057	62
	2142	13164	127
	3499	14302	3
	5347	19667	10
	3153	14068	32
	1100	12174	2
	2024	7182	3
	1965	12608	7
	4289	8944	80
	2761	33119	2
	3633	11687	63
	633	10208	2
	2886	18544	2
	2551	5921	4
	4305	20052	262
	695	13797	2
	3642	28132	61
	2160	2768	204
	4374	2236	5
	1508	11867	6
	3167	12852	6
	1892	16572	49
	3739	29979	4
	5347	14938	59
	8414	7354	7
	4271	9831	1
	1573	14539	64
	3465	13658	57
	3743	21778	25
	2947	23671	77
	2217	61712	237
	2669	18561	1
	313	11372	56
	723	9445	38
	3594	21880	4
	3429	8595	7
	8558	14140	1
	4142	27058	1
	1572	11768	66
	5750	13291	55
	2004	24714	7
	4193	3805	1
	1919	6442	1
	4762	11728	6
	2252	10836	53
	4401	18610	10
	4207	11247	48
	3729	50190	2
	2981	8122	3
	4907	16483	87
	3080	31361	2
	2595	4900	59
	3981	6625	5
	728	26595	70
	6268	21801	1
	4889	14951	6
	5066	31934	74
	2962	17182	65
	2589	21611	2
	5675	21354	12
	3646	40588	74
	10148	11701	1
	7836	23629	67
	5206	16678	7
	3056	25533	79
	5930	12499	11
	3807	26625	31
	3857	39089	1
	2784	7033	65
	3296	27206	169
	2533	13490	4
	4452	12697	4
	2990	24825	4
	3514	8231	4
	3389	10037	49
	2516	5146	6
	4557	8045	9
	2853	8125	235
	2338	13001	1
	4181	16778	27
	4261	13222	110
	2754	8515	3
	4028	20502	1
	4422	16339	3
	5330	16338	3
	405	4429	3
	2948	20715	68
	1400	12795	74
	7048	10407	2
	778	10656	74
	3342	9869	82
	4618	14272	7
	2394	13171	3
	1836	1503	70
	2077	11306	71
	3112	8201	11
	1578	9760	67
	4310	6806	242
	505	11236	3
	2593	14147	5
	2492	21448	4
	3230	11231	1
	632	2687	6
	3798	48305	281
	1726	18107	2
	3880	13030	70
	2227	10990	75
	2616	20340	80
	5810	11420	6
	529	11244	4
	4327	24059	3
	4063	5997	3
	805	12196	55
	4739	12138	4
	2220	22025	7
	1959	10471	4
	3730	12169	6
	5357	18035	1
	2106	11680	5
	2663	9193	69
	5960	8763	83
	3568	12318	5
	4817	4966	5
	5548	17172	6
	2334	12317	2
	3220	7163	8
	5730	22192	59
	1717	14545	4
	1812	20408	5
	5217	12674	3
	4164	26965	4
	3813	19924	76
	2724	10050	236
	3298	21679	2
	4429	14400	6
	1884	13592	2
	4223	9079	2
	3153	31016	5
	3864	20170	173
	3225	22725	4
	3331	16567	7
	3257	13106	5
	4754	18598	144
	2061	9145	2
	1876	19525	3
	3028	10396	3
	3036	9222	84
	3855	30270	68
	3259	2147	3
	4276	13568	63
	3885	13630	7
	3519	2431	2
	4213	5915	103
	966	14680	2
	2099	5136	95
	2858	10205	79
	1874	11156	6
	3827	13351	2
	3683	12389	8
	679	12647	115
	2530	10558	67
	2404	11763	4
	3815	8255	1
	2263	11255	7
	3663	103	66
	2630	22688	54
	2545	31506	171
	4332	58053	5
	3865	12074	1
	4253	12981	4
	3669	34431	3
	1797	13076	6
	2626	15806	81
	3760	31246	269
	2255	11541	123
	4019	17309	2
	2657	5006	10
	3807	15861	3
	3343	4459	1
	4871	7388	4
	4467	13191	6
	1765	26434	7
	3580	10841	53
	3374	10680	59
	8201	2241	40
	5527	5726	10
	4617	14121	4
	3810	11402	3
	4119	4160	4
	3061	8745	6
	4773	11773	4
	3984	4490	6
	3448	26358	5
	3099	12021	1
	1860	14277	13
	6704	28108	41
	2270	13707	149
	1321	7532	3
	3984	19185	36
	4252	10683	55
	2683	20730	4
	1859	10302	2
	692	15225	448
	4147	9495	25
	4431	35548	5
	4404	23663	2
	3326	13891	7
	2935	5240	1
	3510	5530	5
	11211	13350	2
	5353	14048	55
	3732	11019	82
	3989	8771	81
	3007	19927	23
	3930	7264	3
	4461	15221	1
	4290	10572	6
	2207	11584	8
	3948	13628	66
	2347	11000	3
	978	8522	13
	3687	16018	12
	4285	5820	20
	3264	14732	28
	5039	46436	86
	1684	20779	2
	2421	45898	1
	4150	14180	3
	3148	10216	66
	1957	33011	6
	5601	5795	1
	3411	4271	1
	5132	10300	2
	611	10244	13
	2615	18907	6
	3836	2996	6
	1242	13860	6
	2748	12590	1
	5714	12026	62
	2977	9798	36
	3634	11773	85
	1952	8036	2
	3537	8580	53
	1872	24274	2
	5132	9880	4
	3048	6963	6
	2583	35798	9
	4075	36109	6
	3830	9828	1
	3424	22755	4
	3637	10637	2
	2841	8197	4
	2075	21409	5
	5820	13291	82
	1938	14420	73
	4153	14447	12
	6872	15513	55
	6234	12324	132
	1269	21345	1
	2136	12533	7
	3401	13120	7
	3312	13631	60
	4983	13463	2
	3220	10229	3
	2478	14767	1
	5188	7376	127
	5829	37178	76
	7937	40375	30
	4225	4707	2
	1691	35641	9
	3275	7012	2
	2708	15931	1
	3183	12246	5
	2924	18722	6
	2432	14636	2
	1519	16725	128
	2301	26305	66
	2201	6757	2
	4400	4754	10
	1380	11877	2
	3168	43269	1
	3713	19443	90
	3064	17669	6
	4603	9934	131
	2865	5826	51
	3444	11593	274
	2084	32718	24
	4316	21093	6
	4263	34534	49
	4194	8428	33
	3387	6702	157
	3255	11059	2
	2276	16154	1
	3162	11501	3
	3895	22940	10
	2758	12557	40
	8885	23094	8
	7824	11566	1
	3093	24468	170
	2470	24980	1
	4713	9656	60
	3674	22244	54
	3005	17901	6
	2050	23192	2
	6455	10768	2
	2177	14038	29
	2437	11997	30
	1466	2856	53
	4575	6853	94
	2732	7924	1
	4017	23611	2
	3780	12137	3
	7461	12168	1
	5096	14984	1
	5435	9236	2
	2109	18166	40
	3240	4097	4
	2634	9104	3
	2030	8912	111
	5226	23	3
	5838	26414	4
	6367	19950	3
	4891	35489	2
	923	8899	28
	2536	62376	181
	3721	20844	4
	2847	17053	2
	1863	15771	2
	1672	10514	4
	3022	14985	11
	2485	9880	2
	2522	11903	1
	2805	10070	1
	3068	8168	2
	4894	4107	97
	6146	9274	50
	2076	13153	2
	3857	10779	4
	5384	7618	1
	4483	11924	4
	1446	13004	1
	1511	4707	10
	4114	12656	2
	2333	9264	63
	2884	13000	1
	3523	29972	1
	3262	6416	27
	3254	7963	7
	4141	30969	4
	3179	7807	8
	1998	19053	2
	2045	35531	56
	3876	13353	4
	3180	4289	2
	6080	10560	1
	2618	6963	1
	2812	6334	7
	3184	12515	10
	3407	21644	4
	5328	4149	2
	3807	8720	6
	4897	26895	241
	2685	8246	2
	2492	28504	2
	3509	10832	5
	1594	6872	93
	2121	45026	10
	2081	6406	5
	5472	7905	1
	1854	9818	2
	2299	7880	61
	2579	15246	2
	2793	5643	6
	3735	10134	1
	6315	5881	2
	2662	19003	7
	4331	15116	1
	1628	9733	1
	2185	10576	1
	4343	8646	14
	1736	10042	63
	1951	22112	3
	6612	15464	6
	1430	22636	65
	3020	6393	15
	3127	36277	94
	3783	11750	2
	3309	10520	1
	1757	13884	184
	1181	8135	6
	4270	13951	5
	2449	6769	2
	3748	15394	2
	4312	7962	6
	3545	12244	4
	3959	15504	1
	1405	5994	3
	2923	8807	3
	2446	12089	57
	553	25401	5
	8941	22055	66
	2372	13786	5
	4951	14973	10
	683	6377	56
	1904	16218	120
	2307	13680	108
	2171	11190	6
	3672	6456	8
	854	8382	10
	3983	13137	3
	1536	21697	4
	1404	9122	56
	4915	14143	3
	3479	6835	12
	4036	32939	72
	3690	5536	1
	5750	12236	6
	4211	13419	123
	3184	12150	149
	3449	23836	102
	5490	5915	4
	5191	68148	41
	3234	6645	4
	2563	11181	4
	3774	24680	6
	3781	9396	35
	4050	10820	3
	1442	10697	4
	666	16574	13
	3800	18657	2
	3288	8019	4
	4159	14606	7
	3329	428	2
	3524	8895	3
	3812	20218	3
	3148	10071	3
	507	40045	6
	227	29098	52
	2755	7452	76
	2334	5290	6
	2027	14176	43
	3636	12555	53
	4311	18535	87
	3781	14847	1
	4796	10115	5
	5603	7822	2
	2999	11034	7
	1350	28846	5
	4301	13518	39
	4188	15252	109
	5229	5824	268
	1490	5622	2
	1952	9482	3
	4229	11569	2
	4680	6858	11
	4255	7387	7
	2514	5418	1
	3231	5635	9
	4273	24715	5
	631	9833	6
	2907	14143	5
	2394	33014	22
	3272	12840	7
	3058	4656	8
	2311	5246	2
	6040	13940	7
	3233	25373	2
	7034	6703	9
	1566	6733	7
	7154	18174	6
	4241	11857	56
	4269	34747	75
	3337	6679	2
	3497	15167	132
	2855	5993	1
	1418	21218	2
	3454	11591	2
	2884	12125	6
	3192	31096	5
	2073	7005	6
	6721	21408	5
	3694	12263	5
	1346	7151	10
	6190	6847	56
	4042	17061	5
	1281	12546	2
	1447	11237	2
	3187	5012	46
	2352	30032	6
	3302	15716	227
	4380	12046	9
	4419	12236	6
	2967	12201	74
	3502	8458	2
	1904	10868	10
	4834	10929	2
	4365	4059	4
	2987	21114	5
	4215	28565	7
	3618	3754	72
	1343	4653	4
	2002	14332	12
	2204	8410	2
	3222	12417	4
	3875	19243	3
	2081	29726	4
	2968	5507	5
	3743	23617	5
	5995	12304	252
	1890	8608	3
	3754	18047	2
	3152	5131	78
	3434	17125	4
	2927	12090	2
	5717	7036	34
	2752	5132	57
	2011	16973	4
	2580	12794	1
	3084	21371	3
	3959	20270	4
	2928	26905	146
	3798	14825	2
	4435	9390	5
	952	26451	6
	2907	6161	7
	3097	14046	5
	3903	7886	2
	4198	10837	46
	6158	49276	76
	1481	11037	51
	2394	33721	6
	1801	11139	10
	2694	10741	2
	4116	3791	5
	2358	32853	7
	4030	14495	1
	3686	23550	265
	1501	8013	75
	4708	10593	5
	3179	17778	9
	1897	8630	50
	4153	11309	45
	2840	12121	4
	6864	13347	76
	2385	23011	4
	4162	20370	4
	2788	9734	2
	4665	33497	9
	3425	20304	53
	2064	21362	2
	4012	12210	59
	4196	22816	98
	4613	11000	3
	6788	7496	9
	4395	691	55
	3825	12360	8
	3551	20237	112
	7322	17739	6
	2148	60892	8
	2324	12265	277
	2987	27454	6
	3053	9520	2
	572	9617	51
	2930	19406	64
	2510	14048	3
	2056	11722	3
	3110	13078	6
	3046	12861	7
	6454	22295	56
	2184	11715	3
	6154	97885	3
	5567	20881	10
	6866	55732	83
	1287	24634	2
	5863	12014	94
	2402	9174	198
	1928	11196	3
	2674	16856	2
	3980	23993	8
	3367	15273	48
	3661	9534	113
	891	10061	5
	1927	19868	67
	2601	20530	2
	2373	9702	2
	359	9673	92
	2169	9640	12
	2418	26037	4
	1978	12562	146
	1679	16262	11
	2499	12535	87
	3411	26930	172
	5941	19887	428
	4379	16054	2
	3155	25282	3
	4016	11849	105
	4490	24296	13
	4982	5276	3
	1336	23285	5
	2127	19024	3
	1922	55398	150
	1684	27602	10
	2003	45510	6
	1539	11058	160
	5541	4560	57
	4692	8908	544
	2846	23866	3
	3715	19039	66
	4332	20291	49
	2925	11037	6
	2483	20172	2
	2448	11754	2
	4102	14651	3
	3229	8978	5
	3316	21020	61
	1818	19576	119
	2070	8255	1
	2495	13588	5
	3200	9670	2
	4086	11436	2
	2955	43466	58
	3398	8061	49
	5672	18711	138
	1562	4013	203
	7021	10819	2
	920	22204	2
	651	20331	250
	3112	20778	7
	2749	38120	2
	2995	19128	3
	2299	52211	149
	3129	5089	3
	3951	10802	1
	614	22984	67
	4384	37884	9
	666	17882	2
	613	41355	1
	9139	10343	4
	2543	5811	1
	2824	19485	106
	3484	62645	100
	4023	18312	68
	2149	8606	5
	4841	30620	12
	3849	17720	2
	2668	55087	8
	3520	8038	65
	4185	11322	3
	4177	10885	2
	1415	10118	113
	1983	5229	78
	1768	12643	3
	8591	21873	49
	3578	20855	59
	3502	5053	140
	2561	20264	2
	3919	8945	3
	7098	7895	5
	7083	80941	51
	481	18273	71
	5611	19226	2
	7451	27208	11
	6722	10355	281
	7026	34829	1
	1180	11360	2
	803	10875	4
	2955	21114	6
	3835	9931	24
	4691	32103	611
	4532	10442	11
	4081	15443	52
	6293	24246	1
	3530	7317	13
	1612	16466	3
	3544	8651	167
	2268	10627	6
	4561	21977	2
	4710	23059	5
	3715	24651	7
	2833	71122	7
	4653	9355	4
	4239	19361	24
	5594	10007	20
	3771	15551	5
	2570	8993	6
	2055	9911	11
	2076	8533	90
	3330	16136	5
	4595	6533	7
	5867	19942	6
	3738	25527	155
	4393	10245	5
	4668	22943	2
	4162	11403	60
	2391	25522	71
	992	53658	1
	1890	13316	12
	2859	7142	78
	1900	22853	3
	4888	12939	8
	3673	22004	79
	4022	16484	8
	3545	12104	5
	5108	14138	6
	2784	50426	79
	2133	11577	4
	4307	20103	5
	4588	96129	1
	3294	14686	87
	1749	8080	3
	3177	14263	2
	3770	23885	2
	3160	9894	38
	3969	43024	7
	4118	36621	1
	4693	33322	8
	5645	6652	2
	689	6304	43
	2284	5984	7
	2194	13645	64
	6432	10283	264
	2065	22950	6
	6493	13936	4
	6513	14523	67
	4229	5718	6
	1535	14210	30
	2530	17117	66
	8967	42388	52
	2089	12852	2
	2738	34514	6
	5055	42336	81
	2572	45482	4
	2483	23736	57
	7643	14573	10
	4174	13699	66
	4879	10661	151
	3723	12820	3
	2019	13629	5
	2211	29029	62
	1454	9840	110
	2547	10312	4
	3973	16923	53
	4372	15404	88
	2011	12554	3
	2114	13990	7
	2781	21333	8
	726	12963	24
	2406	32379	7
	2814	9593	59
	3938	22580	2
	3350	42606	12
	5603	19412	51
	1621	9353	4
	3502	37791	5
	4595	14303	27
	3533	24540	1
	4054	13660	82
	3268	21152	61
	4569	11348	54
	3838	30052	53
	2157	13845	63
	3729	25730	2
	3806	15431	198
	2750	5164	1
	7443	12216	11
	4949	14667	1
	1800	5046	5
	3541	13980	21
	3926	7347	44
	4034	246042	4
	4794	10475	5
	5212	26293	210
	894	36118	375
	2587	11478	9
	2386	14098	51
	3656	14526	1
	3230	24806	6
	1496	19443	4
	2340	14287	2
	4215	13820	10
	2331	9639	6
	3959	12984	103
	5176	21122	234
	4173	11472	3
	5875	13384	2
	3098	12448	20
	2275	13554	53
	2559	12118	47
	6271	14004	70
	4804	13848	322
	5700	13683	54
	2942	13426	49
	2918	18602	381
	5778	17466	11
	5741	19060	2
	4811	20096	1
	5887	11290	2
	2703	13660	216
	3211	13744	50
	2975	18656	2
	6677	8697	1
	4389	28112	2
	3495	1619	9
	770	26988	58
	860	13857	86
	3249	44035	120
	6839	12784	5
	4977	12280	65
	4940	13893	106
	601	8830	267
	628	20537	1
	5405	5170	3
	2066	8424	15
	3165	13892	4
	1634	7767	253
	1803	13728	4
	2744	41641	25
	4062	13912	5
	5042	14199	7
	362	13526	7
	1659	32310	3
	2044	17842	12
	3398	25423	75
	2190	43571	154
	4049	19659	105
	1837	13463	2
	1452	15662	2
	2856	13689	3
	3445	34189	86
	3743	12806	4
	4268	13960	8
	2149	897	11
	2249	12944	72
	4058	14181	2
	4218	13291	1
	5388	13938	7
	4927	14156	3
	2023	14312	7
	2592	14067	230
	3126	24332	238
	4275	15705	60
	2444	13914	8
