Archaea	Bacteria	Eukaryotes	Viruses
	1293.0	23744.0	13.0
	3935.0	13417.0	11.0
	2181.0	9322.0	2.0
	1856.0	5260.0	1.0
	5019.0	14258.0	62.0
	1592.0	14904.0	32.0
	2325.0	10703.0	3.0
	5329.0	5797.0	61.0
	2609.0	23612.0	65.0
	1017.0	15265.0	1.0
	3649.0	8686.0	265.0
	4911.0	10118.0	2.0
	3785.0	20766.0	5.0
	4603.0	9993.0	3.0
	2650.0	20008.0	46.0
	3351.0	14635.0	7.0
	4958.0	17526.0	3.0
	5779.0	8049.0	2.0
	1525.0	11038.0	7.0
	2245.0	24199.0	58.0
	7706.0	10469.0	8.0
	1618.0	11840.0	84.0
	1717.0	14132.0	2.0
	2412.0	9112.0	3.0
	2330.0	21351.0	1.0
	2260.0	23017.0	2.0
	1847.0	10629.0	2.0
	832.0	30264.0	2.0
	2004.0	5620.0	3.0
	1769.0	19184.0	91.0
	2480.0	9230.0	2.0
	3802.0	14333.0	4.0
	4068.0	11060.0	89.0
	5489.0	11518.0	107.0
	1610.0	14484.0	35.0
	2787.0	13704.0	58.0
	4192.0	9263.0	8.0
	1876.0	11178.0	2.0
	1734.0	5932.0	66.0
	4718.0	3778.0	27.0
	5663.0	2093.0	69.0
	2835.0	10165.0	13.0
	4782.0	10792.0	8.0
	2202.0	11770.0	9.0
	1794.0	8821.0	132.0
	5473.0	38980.0	57.0
	2631.0	17379.0	59.0
	4509.0	12347.0	6.0
	3263.0	16595.0	10.0
	4340.0	11419.0	237.0
	4187.0	6341.0	8.0
	4650.0	6907.0	2.0
	5458.0	10773.0	7.0
	3167.0	7926.0	8.0
	10019.0	22400.0	7.0
	3324.0	7183.0	276.0
	3240.0	26760.0	243.0
	4335.0	11705.0	6.0
	1433.0	16489.0	86.0
	1934.0	8017.0	8.0
	4249.0	10054.0	2.0
	6000.0	12679.0	391.0
	3629.0	12047.0	2.0
	1846.0	15510.0	2.0
	3294.0	7979.0	15.0
	3566.0	2060.0	1.0
	1871.0	21221.0	5.0
	2375.0	18205.0	1.0
	2718.0	14230.0	47.0
	4594.0	14641.0	2.0
	2120.0	16237.0	4.0
	4904.0	39870.0	2.0
	2102.0	4966.0	86.0
	2311.0	13759.0	8.0
	2839.0	13743.0	2.0
	5722.0	7903.0	6.0
	6164.0	15412.0	57.0
	1493.0	8277.0	214.0
