	AM	YM	EFM	EN	AY	RM	CDSG	VM	PTN	BN	BAPP	CMUT	PN	CN	IM	SOM	SGCode	KN	MPCMMS	TrM	AFM	CM	MN	CDHN	TM
G_gc	-0.5690606274990571	12.929262750655084	12.929262750655084	12.929262750655084	12.929262750655084	12.929262750655084	-7.445693589448813	12.929262750655084	12.929262750655084	12.929262750655084	12.929262750655084	12.929262750655084	12.929262750655084	12.929262750655084	12.929262750655084	12.929262750655084	12.929262750655084	12.929262750655084	12.929262750655084	12.929262750655084	12.929262750655084	12.929262750655084	12.929262750655084	12.929262750655084	12.929262750655084
P_code	-46.945128052709336	-56.42545889481946	-56.42545889481946	-56.42545889481946	-58.989810679980415	-51.53716330435651	-56.42545889481946	-61.63964085798012	-58.989810679980415	-51.53716330435651	-58.989810679980415	-53.94251510283815	-53.94251510283815	-51.53716330435651	-51.53716330435651	-58.989810679980415	-58.989810679980415	-51.53716330435651	-56.42545889481946	-56.42545889481946	-53.94251510283815	-56.42545889481946	-53.94251510283815	-56.42545889481946	-61.63964085798012
P_gc	-55.761758241921356	-55.761758241921356	-55.761758241921356	-55.761758241921356	-55.761758241921356	-55.761758241921356	-55.761758241921356	-55.761758241921356	-55.761758241921356	-55.761758241921356	-55.761758241921356	-55.761758241921356	-55.761758241921356	-55.761758241921356	-55.761758241921356	-55.761758241921356	-55.761758241921356	-55.761758241921356	-55.761758241921356	-55.761758241921356	-55.761758241921356	-55.761758241921356	-55.761758241921356	-55.761758241921356	-55.761758241921356
T_code	-30.76402301330597	-178.4008231896191	-39.20041159480944	-39.20041159480944	-41.48238555538007	-34.850398732471795	-39.20041159480944	-43.84042531463643	-41.48238555538007	-34.850398732471795	-41.48238555538007	-36.99088125203465	-36.99088125203465	-34.850398732471795	-34.850398732471795	-41.48238555538007	-41.48238555538007	-34.850398732471795	-39.20041159480944	-39.20041159480944	-36.99088125203465	-39.20041159480944	-36.99088125203465	-39.20041159480944	-43.84042531463643
T_gc	-28.929642811009447	-157.85928562201903	-28.929642811009447	-28.929642811009447	-28.929642811009447	-28.929642811009447	-28.929642811009447	-28.929642811009447	-28.929642811009447	-28.929642811009447	-28.929642811009447	-28.929642811009447	-28.929642811009447	-28.929642811009447	-28.929642811009447	-28.929642811009447	-28.929642811009447	-28.929642811009447	-28.929642811009447	-28.929642811009447	-28.929642811009447	-28.929642811009447	-28.929642811009447	-28.929642811009447	-28.929642811009447
V_code	25.00587201311565	20.16754117525222	20.16754117525222	20.16754117525222	18.858812342059643	22.662305513525503	20.16754117525222	17.50645921442729	18.858812342059643	22.662305513525503	18.858812342059643	21.43472306135935	21.43472306135935	22.662305513525503	22.662305513525503	18.858812342059643	18.858812342059643	22.662305513525503	20.16754117525222	20.16754117525222	21.43472306135935	20.16754117525222	21.43472306135935	20.16754117525222	17.50645921442729
V_gc	26.057902537242562	26.057902537242562	26.057902537242562	26.057902537242562	26.057902537242562	26.057902537242562	26.057902537242562	26.057902537242562	26.057902537242562	26.057902537242562	26.057902537242562	26.057902537242562	26.057902537242562	26.057902537242562	26.057902537242562	26.057902537242562	26.057902537242562	26.057902537242562	26.057902537242562	26.057902537242562	26.057902537242562	26.057902537242562	26.057902537242562	26.057902537242562	26.057902537242562
L_code	-3.8955695045729475	63.13383017579673	-10.598509472609923	-10.598509472609923	6.323666840139251	-7.142306051590866	-10.598509472609923	-14.285126455030264	6.323666840139251	-7.142306051590866	-12.411599791833021	-8.842977576219255	-8.842977576219255	-7.142306051590866	-7.142306051590866	-31.146866423805168	-12.411599791833021	-7.142306051590866	-10.598509472609923	-10.598509472609923	-8.842977576219255	-29.03159438471156	-8.842977576219255	-10.598509472609923	4.7623946208081565
L_gc	-6.146658440855894	62.14541128491757	-6.146658440855894	-6.146658440855894	10.818873085225048	-6.146658440855894	-6.146658440855894	-6.146658440855894	10.818873085225048	-6.146658440855894	-6.146658440855894	-6.146658440855894	-6.146658440855894	-6.146658440855894	-6.146658440855894	-23.327161777661694	-6.146658440855894	-6.146658440855894	-6.146658440855894	-6.146658440855894	-6.146658440855894	-23.327161777661694	-6.146658440855894	-6.146658440855894	14.527426937420756
R_code	-50.69028604480832	-60.412239983183056	-6.941493322121925	-60.412239983183056	-63.04194883536637	-29.499464569757162	-60.412239983183056	-10.506209766192661	-63.04194883536637	-55.3993574837086	-63.04194883536637	-5.2440093011358355	-57.86601395170391	-55.3993574837086	-29.499464569757162	-63.04194883536637	-63.04194883536637	-55.3993574837086	-60.412239983183056	-6.941493322121925	-5.2440093011358355	-60.412239983183056	-57.86601395170391	-60.412239983183056	-65.75931464928918
R_gc	-22.996235469871202	-56.013208091646796	-6.487749158983397	-56.013208091646796	-56.013208091646796	-18.791165034935798	-56.013208091646796	-6.487749158983397	-56.013208091646796	-56.013208091646796	-56.013208091646796	-6.487749158983397	-56.013208091646796	-56.013208091646796	-14.690026409618307	-56.013208091646796	-56.013208091646796	-56.013208091646796	-56.013208091646796	-6.487749158983397	-6.487749158983397	-56.013208091646796	-56.013208091646796	-56.013208091646796	-56.013208091646796
S_code	-138.1881226461686	-90.1663237255701	-153.55509830076008	-90.1663237255701	-125.49777184944644	-114.9275637940037	-90.1663237255701	-96.50520118308911	-93.2838044423827	-84.22362610914604	-93.2838044423827	-118.33911242565456	-87.14781065056098	-84.22362610914604	-145.6315014788614	-61.06983703531873	-93.2838044423827	-84.22362610914604	-90.1663237255701	-153.55509830076008	-149.53041420074788	-90.1663237255701	-87.14781065056098	-90.1663237255701	-96.50520118308911
S_gc	-95.70564891709917	-76.13508402538922	-134.846778700519	-76.13508402538922	-105.30611694210381	-105.67574578380446	-76.13508402538922	-76.13508402538922	-76.13508402538922	-76.13508402538922	-76.13508402538922	-105.67574578380446	-76.13508402538922	-76.13508402538922	-115.39942342270928	-46.594422266974014	-76.13508402538922	-76.13508402538922	-76.13508402538922	-134.846778700519	-134.846778700519	-76.13508402538922	-76.13508402538922	-76.13508402538922	-76.13508402538922
